Condition,RedToyReward,YellowToyReward,LearnC,LearnR,TeachC,TeachR,DiscoverC,DiscoverR,ExploreProb,TeacherReward,Decision
Matched_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,1,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,1,1,1,0,1,0,0,1,Variable,RedToy
Inverted_Rewards,2,1,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,2,2,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,2,2,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,2,2,1,1,0,1,0,0,1,Variable,Either
Equal_Costs,2,2,1,1,0,1,1,1,1,Variable,Either
Matched_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Inverted_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,3,2,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,3,2,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,3,2,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,3,2,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,3,2,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,3,2,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,3,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,3,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,2,3,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,4,2,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,4,2,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,4,2,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,4,2,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,4,2,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,4,2,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,4,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,4,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,2,4,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,5,2,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,5,2,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,5,2,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,5,2,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,5,2,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,5,2,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,5,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,5,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,2,5,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,6,2,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,6,2,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,6,2,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,6,2,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,6,2,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,6,2,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,6,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,6,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,2,6,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,7,2,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,7,2,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,7,2,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,7,2,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,7,2,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,7,2,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,7,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,7,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,2,7,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,8,2,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,8,2,1,1,0,1,0,0,1,Variable,RedToy
Unequal_Costs,8,2,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,8,2,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,8,2,1,1,0,1,0,0,1,Variable,RedToy
Equal_Costs,8,2,1,1,0,1,1,1,1,Variable,RedToy
Matched_Rewards,2,2,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,2,2,1,1,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,8,0,0,0,1,1,1,1,Variable,YellowToy
Inverted_Rewards,2,8,1,1,0,1,0,0,1,Variable,YellowToy
Inverted_Rewards,2,8,1,1,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,1,2,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,1,2,0,1,0,1,0,1,1,Variable,YellowToy
Equal_Costs,1,2,1,0,0,1,1,0,1,Variable,YellowToy
Equal_Costs,1,2,0,1,0,1,0,1,1,Variable,YellowToy
Matched_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,2,1,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,2,1,0,1,0,1,0,1,1,Variable,RedToy
Unequal_Costs,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,2,2,0,1,0,1,0,1,1,Variable,Either
Equal_Costs,2,2,1,0,0,1,1,0,1,Variable,Either
Equal_Costs,2,2,0,1,0,1,0,1,1,Variable,Either
Matched_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Unequal_Costs,3,2,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,3,2,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,3,2,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,3,2,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,2,3,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,2,3,0,1,0,1,0,1,1,Variable,YellowToy
Unequal_Costs,4,2,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,4,2,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,4,2,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,4,2,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,2,4,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,2,4,0,1,0,1,0,1,1,Variable,YellowToy
Unequal_Costs,5,2,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,5,2,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,5,2,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,5,2,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,2,5,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,2,5,0,1,0,1,0,1,1,Variable,YellowToy
Unequal_Costs,6,2,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,6,2,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,6,2,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,6,2,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,2,6,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,2,6,0,1,0,1,0,1,1,Variable,YellowToy
Unequal_Costs,7,2,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,7,2,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,7,2,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,7,2,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,2,7,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,2,7,0,1,0,1,0,1,1,Variable,YellowToy
Unequal_Costs,8,2,1,0,0,1,1,0,1,Variable,YellowToy
Unequal_Costs,8,2,0,1,0,1,0,1,1,Variable,RedToy
Equal_Costs,8,2,1,0,0,1,1,0,1,Variable,RedToy
Equal_Costs,8,2,0,1,0,1,0,1,1,Variable,RedToy
Matched_Rewards,2,2,1,0,0,1,1,0,1,Variable,YellowToy
Matched_Rewards,2,2,0,1,0,1,0,1,1,Variable,Either
Inverted_Rewards,2,8,1,0,0,1,1,0,1,Variable,YellowToy
Inverted_Rewards,2,8,0,1,0,1,0,1,1,Variable,YellowToy
Unequal_Costs,1,3,0,0,0,1,1,1,1,Variable,YellowToy
Unequal_Costs,1,3,1,1,0,1,0,0,1,Variable,YellowToy
Unequal_Costs,1,3,1,1,0,1,1,1,1,Variable,YellowToy
Equal_Costs,1,3,0,0,0,1,1,1,1,Variable,Either
Equal_Costs,1,3,1,1,0,1,0,0,1,Variable,YellowToy
Equal_Costs,1,3,1,1,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,0,0,0,1,1,1,1,Variable,YellowToy
Matched_Rewards,3,3,1,1,0,1,0,0,1,Variable,RedToy
Matched_Rewards,3,3,1,1,0,1,1,1,1,Variable,YellowToy
